framework_key,requirement_key,implementation_title,implementation_steps,validation_method,owner_role,common_gap
nist-sp-800-53r5,nist53.ma,Implement Maintenance,"1. Define the accountable owner and scope for Maintenance. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.mp,Implement Media Protection,"1. Publish the current approved policy or procedure for Media Protection. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.pe,Implement Physical and Environmental Protection,"1. Publish the current approved policy or procedure for Physical and Environmental Protection. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.pl,Implement Planning,"1. Publish the current approved policy or procedure for Planning. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.pm,Implement Program Management,"1. Publish the current approved policy or procedure for Program Management. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.ps,Implement Personnel Security,"1. Publish the current approved policy or procedure for Personnel Security. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.pt,Implement Personally Identifiable Information Processing and Transparency,"1. Publish the current approved policy or procedure for Personally Identifiable Information Processing and Transparency. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.ra,Implement Risk Assessment,"1. Define the accountable owner and scope for Risk Assessment. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.sa,Implement System and Services Acquisition,"1. Define the accountable owner and scope for System and Services Acquisition. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.sc,Implement System and Communications Protection,1. Define the in-scope systems and success threshold for System and Communications Protection. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.si,Implement System and Information Integrity,1. Define the in-scope systems and success threshold for System and Information Integrity. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.sr,Implement Supply Chain Risk Management,"1. Publish the current approved policy or procedure for Supply Chain Risk Management. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.01,Implement Install and Maintain Network Security Controls,"1. Define the accountable owner and scope for Install and Maintain Network Security Controls. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.02,Implement Apply Secure Configurations,1. Define the in-scope systems and success threshold for Apply Secure Configurations. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.03,Implement Protect Stored Account Data,"1. Define the accountable owner and scope for Protect Stored Account Data. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.04,Implement Protect Cardholder Data with Strong Cryptography During Transmission,1. Define the in-scope systems and success threshold for Protect Cardholder Data with Strong Cryptography During Transmission. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.05,Implement Protect All Systems and Networks from Malicious Software,"1. Define the accountable owner and scope for Protect All Systems and Networks from Malicious Software. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.06,Implement Develop and Maintain Secure Systems and Software,"1. Define the accountable owner and scope for Develop and Maintain Secure Systems and Software. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.07,Implement Restrict Access to System Components and Cardholder Data by Business Need to Know,"1. Define the accountable owner and scope for Restrict Access to System Components and Cardholder Data by Business Need to Know. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.08,Implement Identify Users and Authenticate Access to System Components,1. Define the in-scope systems and success threshold for Identify Users and Authenticate Access to System Components. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.09,Implement Restrict Physical Access to Cardholder Data,"1. Publish the current approved policy or procedure for Restrict Physical Access to Cardholder Data. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.10,Implement Log and Monitor All Access to System Components and Cardholder Data,1. Define the in-scope systems and success threshold for Log and Monitor All Access to System Components and Cardholder Data. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.11,Implement Regularly Test Security Systems and Processes,"1. Define the accountable owner and scope for Regularly Test Security Systems and Processes. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
pci-dss-4.0.1,pci.12,Implement Support Information Security with Organizational Policies and Programs,"1. Publish the current approved policy or procedure for Support Information Security with Organizational Policies and Programs. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
dfars-cyber-clauses,dfars.7012.covered-information,Implement Safeguard covered defense information,"1. Define the accountable owner and scope for Safeguard covered defense information. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
dfars-cyber-clauses,dfars.7012.incident-reporting,Implement Report cyber incidents,"1. Define the accountable owner and scope for Report cyber incidents. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
dfars-cyber-clauses,dfars.7012.evidence-preservation,Implement Preserve incident evidence,"1. Define the accountable owner and scope for Preserve incident evidence. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
dfars-cyber-clauses,dfars.7019.assessment,Implement Maintain NIST assessment status,"1. Publish the current approved policy or procedure for Maintain NIST assessment status. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
dfars-cyber-clauses,dfars.7020.access,Implement Support DoD assessment access,"1. Define the accountable owner and scope for Support DoD assessment access. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
dfars-cyber-clauses,dfars.7020.flowdown,Implement Flow down applicable requirements,"1. Publish the current approved policy or procedure for Flow down applicable requirements. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
dfars-cyber-clauses,dfars.7021.cmmc,Implement Determine CMMC applicability,"1. Define the accountable owner and scope for Determine CMMC applicability. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
fisma-rmf,fisma.categorize,Implement Categorize the information system,"1. Publish the current approved policy or procedure for Categorize the information system. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
fisma-rmf,fisma.select,Implement Select and tailor controls,"1. Publish the current approved policy or procedure for Select and tailor controls. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
fisma-rmf,fisma.implement,Implement Implement controls,"1. Define the accountable owner and scope for Implement controls. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
fisma-rmf,fisma.assess,Implement Assess control effectiveness,"1. Define the accountable owner and scope for Assess control effectiveness. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
fisma-rmf,fisma.authorize,Implement Authorize the system,"1. Publish the current approved policy or procedure for Authorize the system. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
fisma-rmf,fisma.monitor,Implement Continuous monitoring,1. Define the in-scope systems and success threshold for Continuous monitoring. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
fisma-rmf,fisma.poam,Implement Track remediation and risk,"1. Define the accountable owner and scope for Track remediation and risk. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
fisma-rmf,fisma.report,Implement Report security status,"1. Define the accountable owner and scope for Report security status. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.access-control,Implement Access Control,"1. Define the accountable owner and scope for Access Control. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.awareness-training,Implement Awareness and Training,"1. Publish the current approved policy or procedure for Awareness and Training. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.audit-accountability,Implement Audit and Accountability,1. Define the in-scope systems and success threshold for Audit and Accountability. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.configuration-management,Implement Configuration Management,"1. Define the accountable owner and scope for Configuration Management. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.identification-authentication,Implement Identification and Authentication,1. Define the in-scope systems and success threshold for Identification and Authentication. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.incident-response,Implement Incident Response,"1. Define the accountable owner and scope for Incident Response. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.media-protection,Implement Media Protection,"1. Publish the current approved policy or procedure for Media Protection. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.physical-protection,Implement Physical Protection,"1. Define the accountable owner and scope for Physical Protection. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.system-communications,Implement System and Communications Protection,"1. Define the accountable owner and scope for System and Communications Protection. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.system-integrity,Implement System and Information Integrity,1. Define the in-scope systems and success threshold for System and Information Integrity. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.planning,Implement Planning,"1. Publish the current approved policy or procedure for Planning. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.risk-assessment,Implement Risk Assessment,"1. Publish the current approved policy or procedure for Risk Assessment. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.security-assessment,Implement Security Assessment and Monitoring,"1. Define the accountable owner and scope for Security Assessment and Monitoring. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-171r3,800171r3.supply-chain,Implement Supply Chain Risk Management,"1. Publish the current approved policy or procedure for Supply Chain Risk Management. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
